index,comment_text,toxic
0,"@05proFESSOR I bet he's a Starbucks queer",0
1,"@AirSimba9 I don't be on the hoes but these hoes on my snapchat",1
2,"' I took the bitch down In the set , yo bitch get around in the set , I dicked the bitch down in the set , yo... http://t.co/PlByuQgerG",1
3,"3 things i cant stand while dealing with a bitch! 

A. HIT FEET
B. STANK ASS BREATH
C. SKANK ASS WAYS",1
4,"5am: Whizzing crackers! My cats got into the @Ritzcrackers &amp; are now playing 'hockey' with them. Lol.
#crazycats http://t.co/A5ZBVDXapx",0
5,"934 8616
i got a missed call from yo bitch",1
6,"' It's just me ? Or do you NOT want nobody else Texting/Inboxing/Kiking/DMing/Snapchatting/Emailing/ Yo girl or niggah ?",1
7,"@Adolfhibsta I've seen a number of bitches on here say there's no such thing as loose pussy lol. Ok",1
8,"'Eff it, let's go after the cripple&#8217;: You have to see Wendy Davis' new attack ad [video] http://t.co/WapBCHhuru",0
9,"' Fuck her right in the pussy &#1041204;&#1041204;&#1041204;&#1041204;",1
10,"270 on flappy bird suck my dick and lick my balls #swag",1
11,"-5 RT @LoveMeDarlingg: 10. How many hoes do you REALLY have?",1
12,"1, 2, 3, 4, 5 I&#8217;m too drunk to walk, let&#8217;s drive. I got bitches with me all night And the party don&#8217;t start 'til the drugs arrive #Loaded",1
13,"99 problems but a bitch ain't 1",1
14,"------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro",1
15,"@A_Brown_30 and I just cleaned the entire fucking weight room. Looked like a tornado went through this bitch.C'mon franklin @Franklin_Probs",1
16,"... lol nah hoes we dealt with it so will y'all &#128128; http://t.co/RXTJwwKfHJ",1
17,"@2ANow She looks like a plastic monkey doll!",0
18,"' Y'all hoes get turned on for no reason &#1041204;&#1041204; 
Be Like "" owieee he got tats , he bang , wifi with no password &#1041191; My... http://t.co/vxADs6boHa",1
19,"@01TakesTheLead no bitch I had to use my whipers!!",1
20,"'Forget to salute,' trash the other guy for the 'bad war' (during Cairo II), sympathize w/ 'Pockistan,' gays hurting morale. Thanks King!",0
21,". @_HISTO requires soundcloud links and tumblr bitches; he MIGHT let you play his party then.",1
22,"@1Starflow &#128514;&#128514;&#128514; them bitches need a tan",1
23,"2+2 not knowing wtf it is bitch",1
24,"' I'm that niggah you can show out in public babbbbbbyyyy &#1041191;&#1043215; lol",1
25,"&lt;&lt;&lt;&lt;&lt;&lt;when bitches be doing too much on twitter",1
26,"===&gt; RT @kylegotjokes: All good pussy comes with a price tag",1
27,"2 faced bitch",1
28,"7:15 needs to hurry up . It's chilly in this bitch",1
29,"@ me tho &#8220;@_Mashphatrabbit: This bitch wants to be included so fuckin baldly bruh!!!!&#8221;",1
30,".@Straatvogels [street birds]: Homeless People Twittering in Amsterdam http://t.co/WruoCdVkJt via @HuffPostImpact
&#8853;http://t.co/DJgs6rGdfV",0
31,"' Looked at my EX profile and she struggling with that weak ass niggah &#1041204; God Is Good &#1041240;&#1041243;",1
32,".@HoppyKercheval Could you just play 2 minutes of the Charlie Brown ""wah wah wah"" adult sound effect instead?",0
33,"*bitch breathes* me: could you not?",1
34,"@1MannyOnly @iamadamg_ @JennyReyes42 bitches will be bitches.",1
35,"99 problems but a bitch ain't one",1
36,"&amp;&amp; when Tha bitches start hating &#128553;&#128553;&#128129; that's wen a bitch lost me &#128588;&#128168;&#128591;&#128175;&#9996;&#65039;&#128581;&#128064;",1
37,"' These niggahs bitches call they momma tell her come and get'emm ! It's either that it shoot him or shoot whoever with him .",1
38,"' Y'all complaining about thirst traps ? FR ? Theirs models that dress just like that ? Ass out and all STFU . Don't make you a hoe wtf .",1
39,"@ActuarialReport We've tried. Each time we go he just sits there in silence and I cry like a bitch and sweat.",1
40,"2 hoes 1 dyke",1
41,"' Wake up I'm blessed &#1041243; Steaight Kush No stress &#1043293; Thankin God for ma success &#1043359;&#1041240; Ma bitches say I'm the best &#1043351;&#1043323; .",1
42,"@22duces20 haha still a little bitch though &#128517;",1
43,"' Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;",1
44,"' Happy birthday to my main niggah right here &#1041240;&#1043358;&#1043359;&#1043323;&#1041681;&#1041636;&#1041629; We been at it for a minute same dreams of bein rich and we... http://t.co/Oy4x1yXHZe",1
45,"*loud Jamaican horns* &#128226;&#128227;&#128226; RT @KingHorseDick: Then why u still single? RT @Greek_Oddess yall find the ugliest hoes attractive.",1
46,"@1SonofYahweh &amp; what we do with our foolish proud selves? Roll our eyes, pretend that we dont see, mock or laff at them, arrogant attitudes",0
47,"' Id rather sit at the house all day and jack off then bust a mission to literally only chill with a bitch &#1041204;&#1043473;... http://t.co/MEtM60bG15",1
48,"1 thang i know these bitches come n go so keep em out your bussiness",1
49,"@05proFESSOR Charlie Sheen could coach better than Crusty Dusty. Yeah they hired Bryan Price, the pitching coach",0
50,"' Up runnin these 2K fades with ma niggah Tyreon &#1043323;&#1043359; Leo KO'd lmfaoo",1
51,"' This Niggah Kevin Hart couldn't sit down lmaoooooooooooo My niggah My Niggah &#1041204;&#1041204;&#1041204;&#1041204;&#1043358;&#1043351;&#1043323;",1
52,"@2trippymcneely if it's trash I'm kickin yo ass",1
53,"&amp; my sister is really going to fucken deny it but yet sprays the room with febreeze , like really bitch why are you going to deny it",1
